Unnamed: 0,DataFile,LogFile,n_attacker,n_victim,runtimes,trainpart,testpart,predictpart,enableConfRound,EnablePREDVEL,EnableNoising,EnableDropout,EnableDP,EnableEncryption,DPEpsilon,DPDelta,DPSensitivity,roundPrecision,StdDevNoising,epochsForAttack,epochsForClassifier,meanLambda,enableAttackerFeatures,enableMean,unknownVarLambda,perturbation_level,outputDim,modelType,results_file_path,datasetpath,logpath,mse,random_mse,accuracy,total_running_time,time_per_prediction
0.0,news_cleaned.csv,news.log,30,29,1,0.6,0.2,0.2,False,False,False,False,False,False,1,1e-05,0.01,1,0.1,10,10,1.2,True,False,0.25,-4,5,NN,results_output.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\GRNA\log\news-2023-09-24-18-06-35-attacker-30-victim-29-mean-False-type-NN-predict-0.2.log,0.1612130089873267,0.1612130089873267,tensor(0.4314),1,0.0004429050030246
,news_cleaned.csv,news.log,30,29,1,0.6,0.2,0.2,False,False,False,False,False,False,1,1e-05,0.01,1,0.1,10,10,1.2,True,False,0.25,-4,5,NN,results_output.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\GRNA\log\news-2023-09-24-18-35-01-attacker-30-victim-29-mean-False-type-NN-predict-0.2.log,0.16121300898732677,0.16121300898732677,0.43139976263046265,1,0.0003754629242804743
news_cleaned.csv,news.log,30,29,1,0.6,0.2,0.2,False,False,False,False,False,False,1,1e-05,0.01,1,0.1,10,10,1.2,True,False,0.25,-4,5,NN,results_output.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\GRNA\log\news-2023-09-24-18-37-04-attacker-30-victim-29-mean-False-type-NN-predict-0.2.log,0.16121300898732677,0.16121300898732677,0.43139976263046265,1,0.000439079923014487
0,news_cleaned.csv,news.log,30,29,1,0.6,0.2,0.2,False,False,False,False,False,False,1,1e-05,0.01,1,0.1,10,10,1.2,True,False,0.25,-4,5,NN,results_output.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\GRNA\log\news-2023-09-24-18-38-42-attacker-30-victim-29-mean-False-type-NN-predict-0.2.log,0.16121300898732677,0.16121300898732677,0.43139976263046265,1,0.00041056390731565416
