,DataFile,LogFile,n_attacker,n_victim,runtimes,trainpart,testpart,predictpart,enableConfRound,EnablePREDVEL,EnableNoising,EnableDropout,EnableDP,EnableEncryption,DPEpsilon,DPDelta,DPSensitivity,roundPrecision,StdDevNoising,epochsForAttack,epochsForClassifier,meanLambda,enableAttackerFeatures,enableMean,unknownVarLambda,perturbation_level,outputDim,modelType,results_file_path,datasetpath,logpath,mse,random_mse,accuracy,total_running_time,time_per_prediction
0,news_cleaned.csv,news.log,30,29,1,0.6,0.2,0.2,False,False,False,False,False,False,1,1e-05,0.01,1,0.1,10,10,1.2,True,False,0.25,-4,5,NN,results_output_2.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\GRNA\log\news-2023-09-24-18-40-44-attacker-30-victim-29-mean-False-type-NN-predict-0.2.log,0.16121300898732677,0.16121300898732677,0.43139976263046265,1,0.00042566003337983163
0,news_cleaned.csv,news.log,30,29,1,0.6,0.2,0.2,False,False,False,False,False,False,1,1e-05,0.01,1,0.1,10,10,1.2,True,False,0.25,-4,5,NN,results_output_2.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\GRNA\log\news-2023-09-24-18-52-09-attacker-30-victim-29-mean-False-type-NN-predict-0.2.log,0.16121300898732677,0.16121300898732677,0.43139976263046265,1,0.00036650107752892277
