,DataFile,LogFile,n_attacker,num_target_features,num_exps,train_percentage,test_percentage,pred_percentage,enableConfRound,EnablePREDVEL,EnableNoising,EnableDP,DPEpsilon,DPDelta,DPSensitivity,roundPrecision,StdDevNoising,epoch_num,epochsForClassifier,meanLambda,enableAttackerFeatures,enableMean,unknownVarLambda,perturbation_level,outputDim,modelType,max_depth,min_samples_split,min_samples_leaf,min_impurity_decrease,criterion,results_file_path,data_path,logpath,mse,random_mse,accuracy,time_per_prediction
0,news_cleaned.csv,news.log,30,29,2,0.6,0.2,0.2,False,False,False,False,1,1e-05,0.01,1,0.1,60,60,1.2,True,False,0.25,-4,5,NN,5,3,5,1e-05,gini,results_output_ESA.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\ESA\log\news_unknown_29_expnum_2_20230924193416.log,tensor(0.1041),tensor(0.2348),tensor(40.8930),0.03574934424353175
0,news_cleaned.csv,news.log,30,29,2,0.6,0.2,0.2,False,False,False,False,1,1e-05,0.01,1,0.1,60,60,1.2,True,False,0.25,-4,5,NN,5,3,5,1e-05,gini,results_output_ESA.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\datasets\news_cleaned.csv,C:\Haider\Research\FL research\PETER\FLinferenceDefence\ESA\log\news_unknown_29_expnum_2_20230924194500.log,0.10410861670970917,0.23483918607234955,40.893036127090454,0.03393410914601038
